date,region,product,units,unit_price,unit_cost,revenue,profit,month
2026-01-01,East,Laptop,3,25.0,12.0,75.0,39.0,2026-01
2026-01-02,South,Monitor,8,900.0,40.0,7200.0,6880.0,2026-01
2026-01-03,North,Laptop,3,900.0,700.0,2700.0,600.0,2026-01
2026-01-04,West,Monitor,8,25.0,12.0,200.0,104.0,2026-01
2026-01-05,West,Monitor,5,900.0,700.0,4500.0,1000.0,2026-01
2026-01-06,Unknown,Laptop,3,25.0,170.0,75.0,-435.0,2026-01
2026-01-07,East,Keyboard,4,250.0,170.0,1000.0,320.0,2026-01
2026-01-08,North,Mouse,5,25.0,40.0,125.0,-75.0,2026-01
2026-01-09,East,Keyboard,7,75.0,700.0,525.0,-4375.0,2026-01
2026-01-10,East,Laptop,6,250.0,12.0,1500.0,1428.0,2026-01
2026-01-11,North,Laptop,9,250.0,40.0,2250.0,1890.0,2026-01
2026-01-12,South,Mouse,8,75.0,40.0,600.0,280.0,2026-01
2026-01-13,North,Laptop,7,900.0,40.0,6300.0,6020.0,2026-01
2026-01-14,South,Mouse,6,900.0,40.0,5400.0,5160.0,2026-01
2026-01-15,North,Monitor,3,25.0,12.0,75.0,39.0,2026-01
2026-01-16,South,Laptop,4,250.0,12.0,1000.0,952.0,2026-01
2026-01-17,North,Monitor,2,250.0,12.0,500.0,476.0,2026-01
2026-01-18,East,Laptop,4,75.0,170.0,300.0,-380.0,2026-01
2026-01-19,South,Laptop,9,250.0,40.0,2250.0,1890.0,2026-01
2026-01-20,West,Monitor,4,900.0,170.0,3600.0,2920.0,2026-01
2026-01-21,North,Keyboard,2,900.0,170.0,1800.0,1460.0,2026-01
2026-01-22,West,Laptop,6,900.0,170.0,5400.0,4380.0,2026-01
2026-01-23,East,Mouse,9,250.0,170.0,2250.0,720.0,2026-01
2026-01-24,South,Keyboard,8,75.0,170.0,600.0,-760.0,2026-01
2026-01-25,South,Keyboard,3,900.0,170.0,2700.0,2190.0,2026-01
2026-01-26,North,Monitor,5,75.0,170.0,375.0,-475.0,2026-01
2026-01-27,West,Mouse,5,250.0,170.0,1250.0,400.0,2026-01
2026-01-28,South,Mouse,3,75.0,40.0,225.0,105.0,2026-01
2026-01-29,North,Monitor,3,75.0,12.0,225.0,189.0,2026-01
2026-01-30,West,Monitor,3,25.0,700.0,75.0,-2025.0,2026-01
2026-01-31,West,Mouse,9,900.0,40.0,8100.0,7740.0,2026-01
2026-02-01,East,Laptop,7,25.0,170.0,175.0,-1015.0,2026-02
2026-02-02,East,Laptop,8,25.0,12.0,200.0,104.0,2026-02
2026-02-03,North,Keyboard,8,900.0,40.0,7200.0,6880.0,2026-02
2026-02-04,South,Mouse,9,250.0,170.0,2250.0,720.0,2026-02
2026-02-05,East,Mouse,1,75.0,170.0,75.0,-95.0,2026-02
2026-02-06,South,Mouse,8,250.0,170.0,2000.0,640.0,2026-02
2026-02-07,South,Keyboard,1,75.0,40.0,75.0,35.0,2026-02
2026-02-08,West,Laptop,5,25.0,700.0,125.0,-3375.0,2026-02
2026-02-09,North,Laptop,6,250.0,170.0,1500.0,480.0,2026-02
2026-02-10,East,Mouse,4,25.0,700.0,100.0,-2700.0,2026-02
2026-02-11,South,Mouse,2,250.0,170.0,500.0,160.0,2026-02
2026-02-12,North,Monitor,2,900.0,170.0,1800.0,1460.0,2026-02
2026-02-13,West,Mouse,8,900.0,700.0,7200.0,1600.0,2026-02
2026-02-14,East,Mouse,3,75.0,12.0,225.0,189.0,2026-02
2026-02-15,South,Keyboard,3,900.0,700.0,2700.0,600.0,2026-02
2026-02-16,West,Laptop,9,250.0,700.0,2250.0,-4050.0,2026-02
2026-02-17,South,Monitor,2,75.0,170.0,150.0,-190.0,2026-02
2026-02-18,North,Monitor,9,25.0,170.0,225.0,-1305.0,2026-02
2026-02-19,South,Mouse,9,75.0,170.0,675.0,-855.0,2026-02
2026-02-20,South,Keyboard,6,250.0,40.0,1500.0,1260.0,2026-02
2026-02-21,East,Mouse,2,900.0,700.0,1800.0,400.0,2026-02
2026-02-22,West,Keyboard,2,25.0,12.0,50.0,26.0,2026-02
2026-02-23,West,Mouse,3,250.0,40.0,750.0,630.0,2026-02
2026-02-24,West,Monitor,6,900.0,170.0,5400.0,4380.0,2026-02
